user_type,agent,metric,mean,std,n
resilient,bootstrapped_dqn_engagement,reward,0.26108540910699124,0.20502934604857134,1484
resilient,linucb_engagement,reward,0.31735797360012924,0.19621230924656408,1725
resilient,neural_ts_engagement,reward,0.20194781468433015,0.19134443112692856,1295
resilient,random_engagement,reward,0.2512272040013642,0.20976053274372172,1449
resilient,bootstrapped_dqn_engagement,engagement,0.5510316133009495,0.2637497867481369,1484
resilient,linucb_engagement,engagement,0.5343673122591237,0.25778991353136466,1725
resilient,neural_ts_engagement,engagement,0.549406948368612,0.26040321439415204,1295
resilient,random_engagement,engagement,0.544107739950152,0.261168141814597,1449
stress_eater,bootstrapped_dqn_engagement,reward,0.23963543413424562,0.19966680440533752,1412
stress_eater,linucb_engagement,reward,0.31732015496730714,0.20383497755655905,1718
stress_eater,neural_ts_engagement,reward,0.23295743601530355,0.18684681578169582,1389
stress_eater,random_engagement,reward,0.231845138070286,0.1994868976778137,1385
stress_eater,bootstrapped_dqn_engagement,engagement,0.5429402169364138,0.2587864331469469,1412
stress_eater,linucb_engagement,engagement,0.5345750954618915,0.25635048759080864,1718
stress_eater,neural_ts_engagement,engagement,0.5468803717334665,0.26040282316994057,1389
stress_eater,random_engagement,engagement,0.5464515604153615,0.2621232878051458,1385
fatigue_sensitive,bootstrapped_dqn_engagement,reward,0.24811349907807134,0.22194904212755306,1438
fatigue_sensitive,linucb_engagement,reward,0.3432913840239341,0.21679244256887167,1865
fatigue_sensitive,neural_ts_engagement,reward,0.31659445685511134,0.24473073849114302,1707
fatigue_sensitive,random_engagement,reward,0.2497705321880363,0.2188852651790085,1442
fatigue_sensitive,bootstrapped_dqn_engagement,engagement,0.5497211486702598,0.262366826846992,1438
fatigue_sensitive,linucb_engagement,engagement,0.5370215365055315,0.2573547284556313,1865
fatigue_sensitive,neural_ts_engagement,engagement,0.5532968253116513,0.2578357841299134,1707
fatigue_sensitive,random_engagement,engagement,0.54729193116151,0.2597808211383189,1442
