timestamp,arm,reward,engagement,ctx0,ctx1,ctx2,ctx3,ctx4
2025-06-11T22:18:08.973390,0,0.928,0.95,0.208,1.019,0.574,1.0,0.0
2025-06-11T22:18:12.657926,0,0.896,0.9,0.583,0.989,0.769,0.95,0.035
2025-06-11T22:18:14.353697,0,0.874,0.85,0.917,0.928,0.654,0.9,0.07
2025-06-11T22:18:15.638739,0,0.812,0.8,0.167,0.801,0.677,0.85,0.105
2025-06-11T22:18:16.749533,0,0.739,0.75,0.667,0.888,0.634,0.8,0.14
2025-06-11T22:18:18.302255,0,0.708,0.7,0.208,0.785,0.746,0.75,0.175
2025-06-11T22:18:19.523851,0,0.721,0.712,0.708,0.734,0.744,0.7,0.21
2025-06-11T22:18:58.424344,0,0.646,0.662,0.583,0.821,0.636,0.712,0.195
2025-06-11T22:18:59.990277,0,0.629,0.612,0.583,0.67,0.726,0.662,0.23
2025-06-11T22:19:00.840496,0,0.516,0.562,0.875,0.712,0.726,0.612,0.265
2025-06-11T22:19:01.584094,0,0.584,0.575,0.833,0.704,0.794,0.562,0.3
2025-06-11T22:19:02.302568,0,0.557,0.525,0.792,0.779,0.717,0.575,0.285
2025-06-11T22:19:14.422918,0,0.552,0.55,0.167,0.631,0.443,0.525,0.32
2025-06-11T22:19:15.102504,0,0.502,0.5,0.917,0.646,0.752,0.55,0.305
2025-06-11T22:19:16.297229,0,0.438,0.45,0.458,0.623,0.884,0.5,0.34
2025-06-11T22:19:18.341248,0,0.411,0.4,0.917,0.71,0.69,0.45,0.375
2025-06-11T22:19:18.960518,0,0.416,0.35,0.167,0.56,0.698,0.4,0.41
2025-06-11T22:19:19.554810,0,0.291,0.3,0.042,0.551,0.552,0.35,0.445
2025-06-11T22:19:20.121042,0,0.263,0.25,0.417,0.552,0.501,0.3,0.48
2025-06-11T22:19:20.637317,0,0.199,0.2,0.958,0.472,0.842,0.25,0.515
2025-06-11T22:19:21.749749,0,0.212,0.212,0.25,0.438,0.719,0.2,0.55
2025-06-11T22:19:22.331196,0,0.151,0.162,0.542,0.506,0.858,0.212,0.535
2025-06-11T22:19:22.886221,0,0.168,0.175,0.25,0.46,0.818,0.162,0.57
2025-06-11T22:19:23.404463,0,0.097,0.125,0.042,0.522,0.726,0.175,0.555
2025-06-11T22:19:23.903849,0,0.17,0.137,0.125,0.416,0.93,0.125,0.59
2025-06-11T22:19:24.398523,0,0.1,0.087,0.667,0.514,0.751,0.137,0.575
2025-06-11T22:19:24.885641,0,0.06,0.037,0.583,0.471,0.675,0.087,0.61
2025-06-11T22:19:25.401012,1,0.019,0.0,0.292,0.322,0.561,0.037,0.645
2025-06-11T22:19:25.882952,2,0.034,0.0,0.583,0.362,0.783,0.0,0.68
2025-06-11T22:19:26.365770,1,0.022,0.0,0.25,0.26,0.831,0.0,0.715
2025-06-11T22:19:26.815785,2,0.0,0.0,0.917,0.204,0.739,0.0,0.75
2025-06-11T22:19:27.314612,1,0.021,0.025,0.542,0.258,0.685,0.0,0.785
2025-06-11T22:19:27.846927,1,0.014,0.0,0.542,0.261,0.613,0.025,0.77
2025-06-11T22:19:28.430179,2,0.017,0.025,0.292,0.247,0.603,0.0,0.805
2025-06-11T22:19:30.676847,0,0.0,0.0,0.792,0.321,0.7,0.025,0.79
2025-06-11T22:19:31.895398,1,0.017,0.025,0.583,0.137,0.805,0.0,0.825
2025-06-11T22:19:32.583511,2,0.0,0.0,0.542,0.19,0.624,0.025,0.81
2025-06-11T22:19:33.124597,1,0.016,0.0,0.625,0.152,0.795,0.0,0.845
2025-06-11T22:19:33.672852,1,0.026,0.025,0.708,0.078,0.839,0.0,0.88
2025-06-11T22:19:34.272871,2,0.0,0.0,0.542,0.138,0.828,0.025,0.865
2025-06-11T22:19:35.497594,1,0.001,0.0,0.917,0.163,0.604,0.0,0.9
